name,lat,lon
Atlanta,33.7889,-84.4054
Baltimore,39.3755,-76.4619
Bloomington,44.8588,-93.2443
Bolingbrook,41.7277,-88.0378
Brooklyn,40.673687,-74.010738
Burbank,34.17453,-118.303206
Canton,42.3231,-83.4525
Carson,33.8419,-118.26
Centennial,39.572178,-104.875166
Charlotte,35.2934,-80.7639
College Park,39.0207,-76.9285
Columbus,40.149911,-82.966764
Conshohocken,40.0948,-75.3073
Costa Mesa,33.6909,-117.916
Covina,34.0743,-117.879
Draper,40.5093,-111.893
East Palo Alto,37.4613,-122.139
Elizabeth,40.6752,-74.1697
Emeryville,37.8314,-122.292
Fishers,39.953597,-86.007331
Frisco,33.0928,-96.8214
Grand Praire,32.69033,-97.022229
Houston,29.7853,-95.4722
Jacksonville,30.237952,-81.516394
Las Vegas,36.068904,-115.280804
Live Oak,29.566514,-98.337762
Long Island,40.7746,-73.5313
Memphis,35.190257,-89.798875
Merriam,39.109555,-94.690829
Miami,25.79157,-80.38369
New Haven,41.296,-72.9196
Norfolk,36.875875,-76.200947
Oak Crek,42.907535,-87.935364
Orlando,28.475548,-81.442024
Paramus,40.9227,-74.0761
Philadelphia,39.9171,-75.1418
Pittsburgh,40.4516,-80.1682
Portland,45.5714,-122.554
Renton,47.4425,-122.226
Round Rock,30.5585,-97.6892
San Diego,32.7801,-117.126
Schaumburg,42.0568,-88.0362
St. Louis,38.633823,-90.244974
Stoughton,42.1378,-71.0685
Sunrise,26.121519,-80.328264
Tampa,27.9549,-82.4334
Tempe,33.3409,-111.971
West Chester,39.31813,-84.433665
West Sacramento,38.5872,-121.553
Woodbridge,38.6431,-77.2892
Market_Street,37.7828,-122.4088
